n, d=0, d=2, d=3, d=4
128, 1.4387061039018039, 6.524434847505086, 15.871230239014562, 27.171395476295867
256, 1.1296744274277848, 9.094373019858617, 25.139887191972573, 44.86498103639512
512, 1.1030496625149948, 12.498763264483461, 38.959102415168196, 72.6798802934647
1024, 1.154682653881552, 17.579721543481543, 61.81360159178072, 121.17882298880616
2048, 1.1974000150102453, 25.33002421866763, 99.13274874536934, 205.21944411898545
4096, 1.2002960182836695, 36.17395592667578, 158.34139515349833, 346.488410534265
8192, 1.211831799426406, 51.46948772790553, 253.01870532773373, 581.6221212305993
16384, 1.2055323658407886, 73.04911603301649, 399.30224071545445, 975.248869331879
